DATE,GSLOOK,GSWS01,GSWS02,GSWS03,GSWS08,GSWS09,GSWS10,GSWSMC,date,year,month,WATERYEAR
2000-01-30,,,,,,,,,,2000,1,2000
2000-01-31,,,,,,,,,,2000,1,2000
2000-02-01,,,,,,,,,,2000,2,2000
2000-02-02,,,,,,,,,,2000,2,2000
2000-02-03,,,,,,,,,,2000,2,2000
2000-02-04,,,,,,,,,,2000,2,2000
2000-02-05,,,,,,,,,,2000,2,2000
2000-02-06,,,,,,,,,,2000,2,2000
2000-02-07,,,,,,,,,,2000,2,2000
2000-02-08,,,,,,,,,,2000,2,2000
2000-02-09,,,,,,,,,,2000,2,2000
2000-02-10,,,,,,,,,,2000,2,2000
2000-02-11,,,,,,,,,,2000,2,2000
2000-02-12,,,,,,,,,,2000,2,2000
2000-02-13,,,,,,,,,,2000,2,2000
2000-02-14,,,,,,,,,,2000,2,2000
2000-02-15,,,,,,,,,,2000,2,2000
2000-02-16,,,,,,,,,,2000,2,2000
2000-02-17,,,,,,,,,,2000,2,2000
2000-02-18,,,,,,,,,,2000,2,2000
2000-02-19,,,,,,,,,,2000,2,2000
2000-02-20,,,,,,,,,,2000,2,2000
2000-02-21,,,,,,,,,,2000,2,2000
2000-02-22,,,,,,,,,,2000,2,2000
2000-02-23,,,,,,,,,,2000,2,2000
2000-02-24,,,,,,,,,,2000,2,2000
2000-02-25,,,,,,,,,,2000,2,2000
2000-02-26,,,,,,,,,,2000,2,2000
2000-02-27,,,,,,,,,,2000,2,2000
2000-02-28,,,,,,,,,,2000,2,2000
2000-02-29,,,,,,,,,,2000,2,2000
2000-03-01,,,,,,,,,,2000,3,2000
2000-03-02,,,,,,,,,,2000,3,2000
2000-03-03,,,,,,,,,,2000,3,2000
2000-03-04,,,,,,,,,,2000,3,2000
2000-03-05,,,,,,,,,,2000,3,2000
2000-03-06,,,,,,,,,,2000,3,2000
2000-03-07,,,,,,,,,,2000,3,2000
2000-03-08,,,,,,,,,,2000,3,2000
2000-03-09,,,,,,,,,,2000,3,2000
2000-03-10,,,,,,,,,,2000,3,2000
2000-03-11,,,,,,,,,,2000,3,2000
2000-03-12,,,,,,,,,,2000,3,2000
2000-03-13,,,,,,,,,,2000,3,2000
2000-03-14,,,,,,,,,,2000,3,2000
2000-03-15,,,,,,,,,,2000,3,2000
2000-03-16,,,,,,,,,,2000,3,2000
2000-03-17,,,,,,,,,,2000,3,2000
2000-03-18,,,,,,,,,,2000,3,2000
2000-03-19,,,,,,,,,,2000,3,2000
2000-03-20,,,,,,,,,,2000,3,2000
2000-03-21,,,,,,,,,,2000,3,2000
2000-03-22,,,,,,,,,,2000,3,2000
2000-03-23,,,,,,,,,,2000,3,2000
2000-03-24,,,,,,,,,,2000,3,2000
2000-03-25,,,,,,,,,,2000,3,2000
2000-03-26,,,,,,,,,,2000,3,2000
2000-03-27,,,,,,,,,,2000,3,2000
2000-03-28,,,,,,,,,,2000,3,2000
2000-03-29,,,,,,,,,,2000,3,2000
2000-03-30,,,,,,,,,,2000,3,2000
2000-03-31,,,,,,,,,,2000,3,2000
2000-04-01,,,,,,,,,,2000,4,2000
2000-04-02,,,,,,,,,,2000,4,2000
2000-04-03,,,,,,,,,,2000,4,2000
2000-04-04,,,,,,,,,,2000,4,2000
2000-04-05,,,,,,,,,,2000,4,2000
2000-04-06,,,,,,,,,,2000,4,2000
2000-04-07,,,,,,,,,,2000,4,2000
2000-04-08,,,,,,,,,,2000,4,2000
2000-04-09,,,,,,,,,,2000,4,2000
2000-04-10,,,,,,,,,,2000,4,2000
2000-04-11,,,,,,,,,,2000,4,2000
2000-04-12,,,,,,,,,,2000,4,2000
2000-04-13,,,,,,,,,,2000,4,2000
2000-04-14,,,,,,,,,,2000,4,2000
2000-04-15,,,,,,,,,,2000,4,2000
2000-04-16,,,,,,,,,,2000,4,2000
2000-04-17,,,,,,,,,,2000,4,2000
2000-04-18,,,,,,,,,,2000,4,2000
2000-04-19,,,,,,,,,,2000,4,2000
2000-04-20,,,,,,,,,,2000,4,2000
2000-04-21,,,,,,,,,,2000,4,2000
2000-04-22,,,,,,,,,,2000,4,2000
2000-04-23,,,,,,,,,,2000,4,2000
2000-04-24,,,,,,,,,,2000,4,2000
2000-04-25,,,,,,,,,,2000,4,2000
2000-04-26,,,,,,,,,,2000,4,2000
2000-04-27,,,,,,,,,,2000,4,2000
2000-04-28,,,,,,,,,,2000,4,2000
2000-04-29,,,,,,,,,,2000,4,2000
2000-04-30,,,,,,,,,,2000,4,2000
2000-05-01,,,,,,,,,,2000,5,2000
2000-05-02,,,,,,,,,,2000,5,2000
2000-05-03,,,,,,,,,,2000,5,2000
2000-05-04,,,,,,,,,,2000,5,2000
2000-05-05,,,,,,,,,,2000,5,2000
2000-05-06,,,,,,,,,,2000,5,2000
2000-05-07,,,,,,,,,,2000,5,2000
2000-05-08,,,,,,,,,,2000,5,2000
2000-05-09,,,,,,,,,,2000,5,2000
2000-05-10,,,,,,,,,,2000,5,2000
2000-05-11,,,,,,,,,,2000,5,2000
2000-05-12,,,,,,,,,,2000,5,2000
2000-05-13,,,,,,,,,,2000,5,2000
2000-05-14,,,,,,,,,,2000,5,2000
2000-05-15,,,,,,,,,,2000,5,2000
2000-05-16,,,,,,,,,,2000,5,2000
2000-05-17,,,,,,,,,,2000,5,2000
2000-05-18,,,,,,,,,,2000,5,2000
2000-05-19,,,,,,,,,,2000,5,2000
2000-05-20,,,,,,,,,,2000,5,2000
2000-05-21,,,,,,,,,,2000,5,2000
2000-05-22,,,,,,,,,,2000,5,2000
2000-05-23,,,,,,,,,,2000,5,2000
2000-05-24,,,,,,,,,,2000,5,2000
2000-05-25,,,,,,,,,,2000,5,2000
2000-05-26,,,,,,,,,,2000,5,2000
2000-05-27,,,,,,,,,,2000,5,2000
2000-05-28,,,,,,,,,,2000,5,2000
2000-05-29,,,,,,,,,,2000,5,2000
2000-05-30,,,,,,,,,,2000,5,2000
2000-05-31,,,,,,,,,,2000,5,2000
2000-06-01,,,,,,,,,,2000,6,2000
2000-06-02,,,,,,,,,,2000,6,2000
2000-06-03,,,,,,,,,,2000,6,2000
2000-06-04,,,,,,,,,,2000,6,2000
2000-06-05,,,,,,,,,,2000,6,2000
2000-06-06,,,,,,,,,,2000,6,2000
2000-06-07,,,,,,,,,,2000,6,2000
2000-06-08,,,,,,,,,,2000,6,2000
2000-06-09,,,,,,,,,,2000,6,2000
2000-06-10,,,,,,,,,,2000,6,2000
2000-06-11,,,,,,,,,,2000,6,2000
2000-06-12,0.000118406508348,5.575929756e-05,6.099629825240001e-05,7.002711781800001e-05,6.380612952160001e-05,6.082136712280001e-05,9.78302342288e-05,0.000217789256352,,2000,6,2000
2000-06-13,9.752410475200004e-05,2.7540719716400003e-05,3.4308367792800004e-05,2.9202565447600004e-05,4.966950761080001e-05,1.5229941470800004e-05,3.8353650164800006e-05,0.000140710227372,,2000,6,2000
2000-06-14,6.855113641200001e-05,1.6268595052800004e-05,2.5835141202800004e-05,2.0816804422400004e-05,3.8933109531600005e-05,6.384986230400001e-06,2.1319731420000003e-05,8.859168394680001e-05,,2000,6,2000
2000-06-15,5.4447314088000016e-05,1.2201446289600005e-05,2.24458505668e-05,1.6377927008800003e-05,3.1279872611600006e-05,5.400998626400001e-06,1.5656336099200002e-05,6.545704205720001e-05,,2000,6,2000
2000-06-16,4.581008956400001e-05,9.850809235600002e-06,2.00405475348e-05,1.3557162544000004e-05,2.6523932525600006e-05,3.8594180468e-06,1.2431043397200005e-05,5.423958337160002e-05,,2000,6,2000
2000-06-17,3.990616394e-05,8.221763091200002e-06,1.82803030432e-05,1.2113980724800004e-05,2.1910123982400005e-05,3.5970213524000007e-06,1.02553374728e-05,4.7395402926e-05,,2000,6,2000
2000-06-18,3.586088156800001e-05,7.434573008000001e-06,1.6946453180000003e-05,1.15782541404e-05,1.9056559930800004e-05,3.553288570000001e-06,9.3150826512e-06,4.1874139148000006e-05,,2000,6,2000
2000-06-19,3.269025484400001e-05,6.7129820984e-06,1.54923381652e-05,1.09003960132e-05,1.69136535932e-05,3.8156852644e-06,8.342028242800001e-06,3.719473143120001e-05,,2000,6,2000
2000-06-20,3.0394283768000004e-05,5.969524797600001e-06,1.4453684583200002e-05,1.02662706684e-05,1.57000688816e-05,3.9468836116e-06,7.434573008000001e-06,3.363050966560001e-05,,2000,6,2000
2000-06-21,2.8098312692000003e-05,5.4556646044e-06,1.3896091607600002e-05,9.982007582800002e-06,1.6968319571200002e-05,3.2252927020000003e-06,6.767648076400001e-06,3.1323605394000004e-05,,2000,6,2000
2000-06-22,2.634900139600001e-05,5.280733474800001e-06,1.3655561304400002e-05,1.06707989056e-05,1.5645402903600003e-05,2.984762398800001e-06,6.559917360000001e-06,2.9290031012400004e-05,,2000,6,2000
2000-06-23,2.449035814400001e-05,4.8215392596000014e-06,1.284650483e-05,1.0189738299200003e-05,1.4672348495200004e-05,3.3236914624000005e-06,6.559917360000001e-06,2.756258610760001e-05,,2000,6,2000
2000-06-24,2.317837467200001e-05,4.438877413600001e-06,1.2343577832400004e-05,9.818009648800002e-06,1.3622761717600002e-05,3.2362258976000003e-06,6.3521866436e-06,2.60319387236e-05,,2000,6,2000
2000-06-25,2.1757059244000004e-05,4.0343491764e-06,1.1785984856800004e-05,9.347882238000002e-06,1.26606405048e-05,3.1050275504000004e-06,6.3521866436e-06,2.43482266012e-05,,2000,6,2000
2000-06-26,2.0882403596e-05,3.8484848512e-06,1.1261191468000002e-05,8.834022044800002e-06,1.1818784443600002e-05,3.1487603328000005e-06,5.4993973868000005e-06,2.299251034680001e-05,,2000,6,2000
2000-06-27,1.9461088168000003e-05,3.8703512424000005e-06,1.0878529622000002e-05,8.407627416400002e-06,1.0922262404400002e-05,3.509555787600001e-06,4.9636708024000005e-06,2.1571194918800004e-05,,2000,6,2000
2000-06-28,1.9023760344e-05,3.6516873304e-06,1.05833333408e-05,8.046831961600002e-06,1.0430268602400005e-05,3.3127582668e-06,4.6028753476e-06,2.02482782512e-05,,2000,6,2000
2000-06-29,1.8149104696000003e-05,3.487689396400001e-06,1.0167871908000002e-05,7.740702484800001e-06,1.00366735608e-05,3.5204889832000005e-06,4.4498106092000006e-06,1.88269628232e-05,,2000,6,2000
2000-06-30,1.7274449048000004e-05,3.4439566140000008e-06,9.807076453200002e-06,7.6641701156e-06,9.643078519200005e-06,3.8922176336000005e-06,4.0780819588000006e-06,1.8236570260800003e-05,,2000,6,2000
2000-07-01,1.6837121224000003e-05,3.3783574404e-06,9.5556129544e-06,7.5220385728e-06,9.1948174996e-06,3.9687500028e-06,4.2420798928000005e-06,1.7558712133600004e-05,,2000,7,2000
2000-07-02,1.6290461444000003e-05,3.3236914624000005e-06,9.2713498688e-06,7.303374660800001e-06,8.877754827200002e-06,4.493543391600001e-06,4.0780819588000006e-06,1.7077651527200005e-05,,2000,7,2000
2000-07-03,1.6290461444000003e-05,3.7828856776e-06,9.183884304e-06,7.500172181600002e-06,8.757489675600001e-06,3.8156852644e-06,4.482610196000001e-06,1.7121384309600003e-05,,2000,7,2000
2000-07-04,1.5853133620000002e-05,3.9250172204e-06,9.1620179128e-06,7.489238986000002e-06,8.593491741600002e-06,3.3674242448000006e-06,4.6028753476e-06,1.7001119158e-05,,2000,7,2000
2000-07-05,1.5415805796e-05,3.673553721600001e-06,8.965220392000002e-06,7.139376726800002e-06,8.298295460400001e-06,3.8156852644e-06,4.417011022400001e-06,1.7996039957600002e-05,,2000,7,2000
2000-07-06,1.5415805796e-05,3.2143595064000007e-06,8.516959372400002e-06,6.833247250000001e-06,7.9047004188e-06,4.657541325600001e-06,3.9031508292e-06,1.67059228768e-05,,2000,7,2000
2000-07-07,1.4541150148000002e-05,3.0066287900000006e-06,8.331095047200002e-06,6.6255165336e-06,7.5767045508e-06,3.935950416000001e-06,3.4111570272000007e-06,1.7318181830400003e-05,,2000,7,2000
2000-07-08,1.4541150148000002e-05,2.9300964208000004e-06,8.232696286800002e-06,6.4505854040000005e-06,7.336174247600002e-06,3.717286504000001e-06,3.2580922888000003e-06,1.64216597912e-05,,2000,7,2000
2000-07-09,1.3666494500000002e-05,2.7004993132000003e-06,7.970299592400001e-06,6.122589536000002e-06,6.9863119884000005e-06,3.914084024800001e-06,3.2580922888000003e-06,1.54923381652e-05,,2000,7,2000
2000-07-10,1.3119834720000002e-05,2.5146349880000003e-06,7.9484332012e-06,5.871126037200001e-06,6.581783751200001e-06,3.914084024800001e-06,3.2580922888000003e-06,1.5142475906000002e-05,,2000,7,2000
2000-07-11,1.2682506896000002e-05,2.4053030320000005e-06,7.828168049600001e-06,5.510330582400001e-06,6.210055100800001e-06,3.695420112800001e-06,3.1050275504000004e-06,1.4453684583200002e-05,,2000,7,2000
2000-07-12,1.2245179072000005e-05,2.295971076e-06,7.6641701156e-06,5.3353994528000005e-06,6.035123971200001e-06,2.5146349880000003e-06,2.809831269200001e-06,1.3568095739600002e-05,,2000,7,2000
2000-07-13,1.1807851248000002e-05,2.1757059244000004e-06,7.423639812400002e-06,5.1276687364e-06,5.739927690000001e-06,1.7493112960000002e-06,2.809831269200001e-06,1.3218233480400005e-05,,2000,7,2000
2000-07-14,1.1370523424e-05,2.1757059244000004e-06,7.248708682800002e-06,5.029269976000001e-06,5.597796147200001e-06,2.0117079904000004e-06,2.9519628120000005e-06,1.2977703177200003e-05,,2000,7,2000
2000-07-15,1.1370523424e-05,2.0882403596e-06,7.183109509200001e-06,5.105802345200001e-06,5.390065430800001e-06,2.2413050980000005e-06,2.9519628120000005e-06,1.2420110201600002e-05,,2000,7,2000
2000-07-16,1.0933195600000002e-05,1.8805096432e-06,7.117510335600001e-06,4.952737606800001e-06,5.094869149600002e-06,2.3725034452000004e-06,2.9519628120000005e-06,1.2103047529200005e-05,,2000,7,2000
2000-07-17,1.0933195600000002e-05,2.0117079904000004e-06,7.117510335600001e-06,4.9855371936000005e-06,5.0074035848000014e-06,2.5146349880000003e-06,2.9519628120000005e-06,1.2135847116000004e-05,,2000,7,2000
2000-07-18,1.038653582e-05,1.8805096432e-06,7.008178379600001e-06,4.7778064772000005e-06,4.701274108000001e-06,2.7223657044e-06,2.9519628120000005e-06,1.1982782377600002e-05,,2000,7,2000
2000-07-19,9.949207996000002e-06,1.7711776872000005e-06,6.931646010400002e-06,4.755940086e-06,4.6028753476e-06,2.623966944000001e-06,2.6676997264e-06,1.1818784443600002e-05,,2000,7,2000
2000-07-20,9.949207996000002e-06,1.6618457312000002e-06,6.505251382000001e-06,4.701274108000001e-06,4.504476587200001e-06,2.4927685968000003e-06,2.3943698364000005e-06,1.14907885756e-05,,2000,7,2000
2000-07-21,9.511880172e-06,1.5634469708000002e-06,6.330320252400001e-06,4.6247417388e-06,4.384211435600001e-06,2.8863636384000003e-06,2.3943698364000005e-06,1.1195592294400002e-05,,2000,7,2000
2000-07-22,9.511880172e-06,1.5525137752000002e-06,6.1553891228e-06,4.5810089564e-06,4.2639462840000006e-06,2.5146349880000003e-06,2.3943698364000005e-06,1.1108126729600002e-05,,2000,7,2000
2000-07-23,9.074552348000002e-06,1.6071797532000003e-06,6.067923558000002e-06,4.515409782800001e-06,4.187413914800001e-06,2.4818354012e-06,2.2631714892e-06,1.0780130861600002e-05,,2000,7,2000
2000-07-24,9.074552348000002e-06,1.4322486236e-06,5.914858819600001e-06,4.395144631200001e-06,4.001549589600001e-06,2.3178374672000003e-06,2.1319731420000003e-06,1.0605199732000002e-05,,2000,7,2000
2000-07-25,8.637224524000002e-06,1.3229166676e-06,5.772727276800001e-06,4.2202135016000005e-06,3.6516873304e-06,1.9789084036000003e-06,2.45996901e-06,1.02881370596e-05,,2000,7,2000
2000-07-26,8.637224524000002e-06,1.3229166676e-06,5.696194907600001e-06,4.2202135016000005e-06,3.542355374400001e-06,1.8914428388e-06,2.3943698364000005e-06,9.9710743872e-06,,2000,7,2000
2000-07-27,8.199896700000001e-06,1.2573174940000002e-06,5.4993973868000005e-06,4.1327479368e-06,3.4767562008000004e-06,2.0991735552e-06,2.5255681836000008e-06,9.632145323600002e-06,,2000,7,2000
2000-07-28,8.199896700000001e-06,1.147985538e-06,5.3135330616e-06,4.099948350000001e-06,3.4220902228000007e-06,2.1101067508e-06,2.6676997264e-06,9.282283064400002e-06,,2000,7,2000
2000-07-29,8.199896700000001e-06,1.1151859512e-06,5.247933888000001e-06,4.045282372000001e-06,3.4330234184000003e-06,1.9679752080000003e-06,2.6676997264e-06,9.0964187392e-06,,2000,7,2000
2000-07-30,7.762568876e-06,1.0277203864000005e-06,5.193267910000001e-06,3.9687500028e-06,3.2799586800000004e-06,2.295971076e-06,2.809831269200001e-06,8.713756893200001e-06,,2000,7,2000
2000-07-31,7.762568876e-06,9.511880172000002e-07,5.0511363672000015e-06,3.8922176336000005e-06,3.1596935284e-06,1.9679752080000003e-06,2.9519628120000005e-06,8.549758959200002e-06,,2000,7,2000
2000-08-01,7.2159090960000015e-06,9.074552348e-07,4.909004824400001e-06,3.706353308400001e-06,3.0722279636000008e-06,1.6727789268000005e-06,2.9519628120000005e-06,8.003099179200002e-06,,2000,8,2000
2000-08-02,7.2159090960000015e-06,8.855888436000001e-07,4.6903409124e-06,3.6298209392e-06,2.9519628120000005e-06,1.3338498632e-06,2.809831269200001e-06,7.5657713552e-06,,2000,8,2000
2000-08-03,6.778581272000001e-06,8.418560612000001e-07,4.679407716800001e-06,3.5642217656000006e-06,2.8644972472000003e-06,1.3338498632e-06,2.5255681836000008e-06,7.270575074000001e-06,,2000,8,2000
2000-08-04,6.778581272000001e-06,8.309228656000001e-07,4.6138085432000005e-06,3.5204889832000005e-06,2.7223657044e-06,1.1807851248000002e-06,2.3943698364000005e-06,6.975378792800002e-06,,2000,8,2000
2000-08-05,6.778581272000001e-06,8.199896700000001e-07,4.5482093696e-06,3.4439566140000008e-06,2.7114325088000004e-06,1.0714531688000002e-06,2.2631714892e-06,6.734848489600001e-06,,2000,8,2000
2000-08-06,6.341253448000001e-06,7.981232788000002e-07,4.493543391600001e-06,3.4002238316000003e-06,2.6349001396e-06,1.1698519292000002e-06,2.1319731420000003e-06,6.7129820984e-06,,2000,8,2000
2000-08-07,6.341253448000001e-06,7.434573008000001e-07,4.504476587200001e-06,3.3455578536000005e-06,2.5037017924000007e-06,1.2901170808000002e-06,2.0007747948000004e-06,6.6364497292000005e-06,,2000,8,2000
2000-08-08,6.341253448000001e-06,7.215909096000001e-07,4.384211435600001e-06,3.2252927020000003e-06,2.3834366408000004e-06,1.147985538e-06,1.8805096432e-06,6.384986230400001e-06,,2000,8,2000
2000-08-09,6.341253448000001e-06,6.997245184000001e-07,4.067148763200001e-06,3.2252927020000003e-06,2.252238293600001e-06,8.746556480000001e-07,1.8805096432e-06,6.253787883200001e-06,,2000,8,2000
2000-08-10,6.341253448000001e-06,6.559917360000001e-07,4.089015154400001e-06,3.2143595064000007e-06,2.1757059244000004e-06,9.402548216e-07,1.8805096432e-06,6.188188709600001e-06,,2000,8,2000
2000-08-11,5.903925624000001e-06,6.559917360000001e-07,4.0780819588000006e-06,3.2034263108e-06,2.1429063376000003e-06,1.0714531688000002e-06,1.8805096432e-06,6.177255514e-06,,2000,8,2000
2000-08-12,5.903925624000001e-06,5.794593668000001e-07,4.001549589600001e-06,3.1596935284e-06,2.0445075772000005e-06,9.839876040000002e-07,1.8805096432e-06,6.1663223184e-06,,2000,8,2000
2000-08-13,5.903925624000001e-06,,4.0343491764e-06,3.1487603328000005e-06,1.9789084036000003e-06,1.3447830588e-06,1.8805096432e-06,6.046057166800001e-06,,2000,8,2000
2000-08-14,5.903925624000001e-06,,4.0562155676000005e-06,3.1378271372e-06,1.8914428388e-06,1.9789084036000003e-06,1.8805096432e-06,6.002324384400002e-06,,2000,8,2000
2000-08-15,5.903925624000001e-06,,4.023415980800001e-06,3.0722279636000008e-06,1.7055785136000004e-06,1.91330923e-06,1.8805096432e-06,5.925792015200002e-06,,2000,8,2000
2000-08-16,5.903925624000001e-06,,3.914084024800001e-06,3.0503615724000007e-06,1.6618457312000002e-06,1.4869146016000005e-06,1.8805096432e-06,5.838326450400002e-06,,2000,8,2000
2000-08-17,5.466597800000001e-06,,3.8156852644e-06,3.0175619856000006e-06,1.6399793400000002e-06,1.3885158412000005e-06,1.8805096432e-06,5.641528929600001e-06,,2000,8,2000
2000-08-18,5.466597800000001e-06,,3.7610192864e-06,3.061294768000001e-06,1.6618457312000002e-06,1.3338498632e-06,1.7602444916000005e-06,5.772727276800001e-06,,2000,8,2000
2000-08-19,5.903925624000001e-06,,3.8047520688000008e-06,3.1487603328000005e-06,1.6399793400000002e-06,1.3338498632e-06,1.6399793400000002e-06,6.2647210788000005e-06,,2000,8,2000
2000-08-20,5.466597800000001e-06,,3.6516873304e-06,3.0394283768000003e-06,1.5197141884e-06,1.6946453180000003e-06,1.6399793400000002e-06,5.860192841600001e-06,,2000,8,2000
2000-08-21,5.466597800000001e-06,,3.553288570000001e-06,2.984762398800001e-06,1.4650482104000002e-06,2.1647727288000004e-06,1.6399793400000002e-06,5.6852617120000005e-06,,2000,8,2000
2000-08-22,5.466597800000001e-06,,3.487689396400001e-06,2.8535640516000007e-06,1.4322486236e-06,1.5415805796e-06,1.6399793400000002e-06,5.586862951600001e-06,,2000,8,2000
2000-08-23,5.466597800000001e-06,,3.3455578536000005e-06,2.7879648780000005e-06,1.3557162544000002e-06,7.325241052000001e-07,1.6399793400000002e-06,5.477530995600001e-06,,2000,8,2000
2000-08-24,5.029269976000001e-06,,3.3455578536000005e-06,2.7879648780000005e-06,1.3119834720000005e-06,,1.6399793400000002e-06,5.422865017600001e-06,,2000,8,2000
2000-08-25,,,3.3455578536000005e-06,2.766098486800001e-06,1.2354511028e-06,,1.5306473840000006e-06,5.422865017600001e-06,,2000,8,2000
